ep,task_id,fbeta_raw,spec_raw,reason_raw,total_01,ts
1,formatting_compliance,0.16,0.0001,0.0206,0.1012,1777165198.83
2,formatting_compliance,0.12,0.0001,0.0192,0.0768,1777165198.83
3,formatting_compliance,0.16,0.0001,0.0206,0.1012,1777165198.83
4,formatting_compliance,0.12,0.0001,0.0192,0.0768,1777165198.83
5,internal_consistency,0.0001,0.0001,0.093,0.0233,1777165198.83
6,internal_consistency,0.0001,0.0001,0.015,0.0038,1777165198.83
7,internal_consistency,0.0001,0.0001,0.093,0.0233,1777165198.83
8,internal_consistency,0.0001,0.0001,0.015,0.0038,1777165198.83
9,claim_evidence_audit,0.6136,0.9999,0.5471,0.6549,1777165198.83
10,claim_evidence_audit,0.0001,0.0001,0.015,0.0038,1777165198.83
11,claim_evidence_audit,0.6136,0.9999,0.5471,0.6549,1777165198.83
12,claim_evidence_audit,0.0001,0.0001,0.015,0.0038,1777165198.83
13,citation_verification,0.5,0.9999,0.0455,0.4614,1777165198.83
14,citation_verification,0.0001,0.0001,0.015,0.0038,1777165198.83
15,citation_verification,0.5,0.9999,0.0455,0.4614,1777165198.83
16,citation_verification,0.0001,0.0001,0.015,0.0038,1777165198.83
17,prompt_injection_audit,0.9999,0.0001,0.125,0.6312,1777165198.83
18,prompt_injection_audit,0.0001,0.0001,0.015,0.0038,1777165198.83
19,prompt_injection_audit,0.9999,0.0001,0.125,0.6312,1777165198.84
20,prompt_injection_audit,0.0001,0.0001,0.015,0.0038,1777165198.84
21,formatting_compliance,0.12,0.0001,0.1056,0.0984,1777165322.13
22,formatting_compliance,0.12,0.0001,0.192,0.12,1777165322.13
23,formatting_compliance,0.12,0.0001,0.0192,0.0768,1777165322.19
24,formatting_compliance,0.67,0.0001,0.2115,0.4549,1777165322.19
25,formatting_compliance,0.16,0.0001,0.033,0.1043,1777165322.19
26,formatting_compliance,0.12,0.0001,0.1056,0.0984,1777165322.19
27,formatting_compliance,0.12,0.0001,0.192,0.12,1777165322.19
28,formatting_compliance,0.12,0.0001,0.0192,0.0768,1777165322.19
29,formatting_compliance,0.67,0.0001,0.2115,0.4549,1777165322.19
30,formatting_compliance,0.16,0.0001,0.033,0.1043,1777165322.19
31,formatting_compliance,0.12,0.0001,0.1056,0.0984,1777165322.19
32,formatting_compliance,0.12,0.0001,0.192,0.12,1777165322.19
