ep,task_id,fbeta,spec,reason,total,valid_json,non_empty_findings,has_table_id,has_str_table_value,ts
1,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
2,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
3,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
4,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
5,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
6,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
7,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
8,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
9,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
10,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
11,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
12,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
13,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
14,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
15,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
16,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
17,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
18,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
19,claim_evidence_audit,0.8462,1.0,0.6693,0.825,1,1,1,1,1777163265.08
20,claim_evidence_audit,0.7,0.0001,0.5925,0.5681,1,1,1,0,1777163265.08
21,claim_evidence_audit,0.6136,1.0,0.5471,0.6549,1,1,1,1,1777163265.08
22,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.08
23,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.08
24,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.09
25,claim_evidence_audit,0.0001,0.0001,0.21,0.0526,0,0,0,0,1777163265.09
26,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.09
27,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163265.09
28,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163265.09
29,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.09
30,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.09
31,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.09
32,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.09
33,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777163265.09
34,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163265.09
35,claim_evidence_audit,0.6353,1.0,0.5585,0.6708,1,1,1,1,1777163354.44
36,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163354.44
37,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163354.44
38,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777163354.44
39,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,0,1,1777163354.44
